Springvale South,3172,31,28,25,84,3.294738254,0.369047619,0.333333333,0.297619048
Geelong East-Breakwater-Newcomb,3219,38,21,25,84,7.435296464,0.452380952,0.25,0.297619048
Carrum Downs,3201,32,28,23,83,7.112226755,0.385542169,0.337349398,0.277108434
Mornington,3931,31,33,19,83,7.354384087,0.373493976,0.397590361,0.228915663
Berwick,3806,25,34,23,82,3.756229281,0.304878049,0.414634146,0.280487805
Balwyn-Deepdene,3103,29,31,19,79,3.276120864,0.367088608,0.392405063,0.240506329
Healesville-Mt Slide-Castella,3777,24,43,12,79,3.677537985,0.303797468,0.544303797,0.151898734
Heidelberg West-Heights,3081,19,43,16,78,11.0152473,0.243589744,0.551282051,0.205128205
Ashburton-Alamein-Ashwood,3147,21,24,33,78,4.374587821,0.269230769,0.307692308,0.423076923
Templestowe Lower,3107,32,21,22,75,3.748479319,0.426666667,0.28,0.293333333
Essendon North-Strathmore,3041,34,14,26,74,4.942630185,0.459459459,0.189189189,0.351351351
Keysborough,3173,22,31,21,74,6.059844104,0.297297297,0.418918919,0.283783784
Drysdale-Clifton Springs,3222,25,34,15,74,2.900712747,0.337837838,0.459459459,0.202702703
Rosebud,3939,28,31,13,72,8.504075788,0.388888889,0.430555556,0.180555556
Caulfield South,3162,29,24,18,71,5.530879221,0.408450704,0.338028169,0.253521127
Westmeadows-Attwood,3049,25,23,21,69,4.678429141,0.362318841,0.333333333,0.304347826
Epping,3076,31,18,18,67,10.34692173,0.462686567,0.268656716,0.268656716
Lilydale-Brookfield,3140,40,12,15,67,8.045242508,0.597014925,0.179104478,0.223880597
Braybrook,3019,28,21,17,66,13.17848411,0.424242424,0.318181818,0.257575758
Melton South-Exford,3338,24,19,23,66,8.131367462,0.363636364,0.287878788,0.348484848
Baxter,3911,21,23,18,62,5.96147967,0.338709677,0.370967742,0.290322581
Oakleigh South,3167,22,18,18,58,4.113785558,0.379310345,0.310344828,0.310344828
Mount Martha,3934,22,21,15,58,2.926201206,0.379310345,0.362068966,0.25862069
Macleod-Yallambie,3085,12,28,17,57,3.90187086,0.210526316,0.49122807,0.298245614
