name, yr2011_12, pfi, postcode,population,averageAge,unemploymentRate,averageIncomeWeekly,eduPrimary,eduSecondary,eduTertiery,CrimeTweetCount,PoliceReportLoged,population loged,incomeLoged,tweetCountLoged
Dandenong-Bangholme,7919,205409391,3175,47993,35,9.4,393,19.8,19,20.8,383,12.95110255,15.55053638,8.618385502,8.409390936
Doveton,936,205410141,3177,10255,35,10.6,370,21.5,18.6,15.9,13,9.87036472,13.32403987,8.531381461,3
Rowville,1165,205409438,3178,34777,36,4.4,634,30.1,29.1,20.3,100,10.18611424,15.08584587,9.30833903,5.906890596
Scoresby,297,205409885,3179,5892,36,4.6,596,28.4,26.8,22.4,20,8.214319121,12.52454172,9.21916852,3.321928095
Knoxfield,398,205410050,3180,7140,40,5.1,598,29.1,27.8,21.3,47,8.636624621,12.80170836,9.224001674,5.129283017
Prahran,2686,205410305,3181,18263,34,4.1,927,10.4,6.8,36,507,11.39124359,14.15663615,9.856425529,8.243173983
St Kilda,3834,205410214,3182,20645,33,4.8,961,9.8,7,34.8,1086,11.90463462,14.3335048,9.908392621,9.654636029
Balaclava,945,205410273,3183,17954,32,4.6,840,18.4,13.8,31.4,226,9.884170519,14.13201768,9.714245518,7.400879436
Elwood,789,205410253,3184,14638,34,3.8,1061,17.6,10.6,28.8,202,9.62388149,13.83743083,10.05120894,6.965784285
Elsternwick-Gardenvale,933,205410254,3185,12220,37,4.1,811,24.1,16.1,24.3,130,9.865733271,13.57695666,9.663558104,6.491853096
Brighton+Middle+North,1075,205409918,3186,21257,44,3.7,883,27.3,22.5,20.7,247,10.07012094,14.37565038,9.786269628,7.426264755
Brighton East,446,205410043,3187,15814,43,4.2,730,29.2,22.8,20.4,318,8.8008999,13.94891471,9.511752654,8.016808288
Hampton,893,205410134,3188,16876,40,4.4,699,30.5,22.6,19.3,97,9.802516365,14.04268537,9.449148645,4.857980995
Moorabbin-Moorabbin East,1026,205410107,3189,5283,39,4.3,593,24.3,18.9,24.7,86,10.00281502,12.36714169,9.211888295,6.22881869
Highett,708,205410171,3190,10263,39,4,662,28.6,19,19.2,49,9.46760555,13.32516489,9.370687407,5.285402219
Sandringham,765,205410165,3191,9309,42,3.7,783,31.1,23,20.1,26,9.579315938,13.18441048,9.612868497,4.169925001
Cheltenham-Cheltenham East,1665,205409831,3192,20292,40,4.3,597,26.5,20.3,22,214,10.70130646,14.30862345,9.221587121,7.21916852
Black Rock-Cromer-Beaumaris,517,205410078,3193,18773,44,3.2,746,31.9,23.8,20.7,48,9.01402047,14.1963716,9.54303182,3.906890596
Mentone,728,205410118,3194,11667,41,3.8,664,24.5,21.6,24.7,109,9.50779464,13.51014602,9.375039431,6.209453366
Mordialloc,1986,205409938,3195,34102,39,3.7,674,30.1,23.2,19.5,229,10.95564991,15.05756873,9.396604781,7.554588852
Chelsea,1163,205410220,3196,23590,39,4.7,623,24.9,19.9,20.5,145,10.18363538,14.5258878,9.283088353,6.714245518
Carrum,673,205410130,3197,11187,41,4.8,649,24.6,22.1,18.1,23,9.394462695,13.44953558,9.342074668,3
Seaford,1563,205409752,3198,16033,39,6.5,559,22.8,18.2,17.7,81,10.61010206,13.96875678,9.126704473,5.614709844
Frankston,6777,205409512,3199,52626,40,6.1,541,24.6,20.6,20.1,352,12.72643106,15.68348812,9.079484784,8.124121312
Frankston North,607,205410077,3200,5626,39,12.8,382,24.5,16.9,13.7,5,9.245552706,12.45789384,8.577428828,2.321928095
Carrum Downs,1360,205409494,3201,19122,34,5.7,591,26.7,22.2,14.6,75,10.40939094,14.2229458,9.20701432,5.906890596
Heatherton,106,205409987,3202,2768,37,3.7,713,32.2,16.1,16.6,7,6.727920455,11.43462823,9.477758266,2
